classname,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword,classoutline
暗号数学特論,佐藤　好久,yes,no,1,2,火曜２限・木曜２限,2,選択,初等整数論・群論・可換環論・有限体論・RSA暗号・ElGamal 暗号・楕円曲線号,レポート課題はその回（週）の授業の内容からの復習を目的とする問題と次回（次週）講義の予習を目的とする問題を出題する．
機械学習基礎,山田　健太,yes,yes,2,4,水曜３限・金曜３限,2,選択,回帰・分類・教師あり学習・教師なし学習・モデル選択,各回の演習課題を通じて学んだ内容を確認する．
データ構造とアルゴリズム,鈴木　大輔,no,no,3,3,月曜１限・木曜３限,1,必修,ソート・探索・グラフアルゴリズム・ハッシュテーブル,プログラム演習を通じてアルゴリズムの理解を深める．
コンピュータアーキテクチャ,高橋　明,yes,no,2,3,水曜２限・金曜４限,1,選択,プロセッサ設計・キャッシュメモリ・並列処理,毎週レポート課題を通じて授業内容を復習．
自然言語処理特論,佐々木　誠,yes,yes,4,4,火曜３限・木曜４限,2,選択,形態素解析・文法解析・単語埋め込み・機械翻訳,授業中に出題される演習問題を通じて理解を深める．
線形代数,中村　美紀,no,no,2,2,月曜２限・木曜２限,1,選択,行列・ベクトル空間・固有値問題,基礎から学び毎回のレポート課題を通じて理解を深める．
確率論,井上　隆,no,no,1,2,火曜４限・木曜４限,2,選択,確率分布・期待値・確率変数・独立性,毎回の演習問題を通じて確率論の基礎を理解．
プログラミング基礎,松本　翔,no,yes,3,3,火曜１限・金曜２限,1,選択,C言語・変数・関数・ポインタ,プログラム課題を通じてC言語の基礎を学ぶ．
オペレーティングシステム,加藤　祐介,yes,no,2,3,水曜４限・金曜２限,1,選択,プロセス管理・メモリ管理・ファイルシステム,授業内容に関連したレポート課題を通じて理解を深める．
離散数学,田中　健,no,no,3,2,火曜５限・木曜３限,2,選択,グラフ理論・論理回路・組み合わせ論,毎回の演習問題を解くことにより理解を深める．
量子コンピュータ基礎,田中　太郎,yes,no,2,3,月曜２限・木曜４限,2,選択,量子ゲート・量子アルゴリズム,授業中に演習課題を通じて量子コンピュータの基礎を理解．
深層学習特論,山本　大輔,yes,yes,3,4,火曜１限・木曜１限,1,選択,ニューラルネットワーク・バックプロパゲーション,深層学習の実装と理論を実習を通して学ぶ．
統計学基礎,川上　健一,no,no,2,3,水曜３限・金曜３限,2,選択,確率分布・推定・検定,統計学の基本概念と手法を基礎から学ぶ．
計算理論,高橋　弘,no,no,3,2,月曜４限・水曜４限,1,選択,オートマトン・チューリングマシン・計算量理論,毎回の授業で出される課題を通じて計算理論を理解．
電気回路,中村　正義,yes,no,2,3,火曜１限・木曜１限,1,選択,回路設計・信号処理,毎回の授業で出題される問題を通じて回路設計の基礎を学ぶ．
化学反応工学,佐藤　恵,yes,no,2,2,水曜２限・金曜２限,2,選択,化学反応速度論・リアクターデザイン,授業中の演習問題を通じて化学反応工学の基礎を学ぶ．
ファイナンス理論,木村　直樹,no,no,3,3,火曜３限・金曜３限,2,選択,ポートフォリオ理論・オプション評価,毎週の課題を通じてファイナンス理論を理解．
ロボティクス,佐々木　豊,no,yes,2,3,月曜３限・木曜３限,1,選択,ロボット制御・センサフュージョン,授業内で行われる演習課題を通じてロボット工学を学ぶ．
情報理論,森田　彰,no,no,2,2,火曜２限・金曜４限,2,選択,エントロピー・符号化理論,情報理論の基礎概念を実習を通じて学ぶ．
クラウドコンピューティング,山下　智,no,yes,4,3,月曜４限・金曜４限,2,選択,分散システム・仮想化・クラウドサービス,授業内での演習を通じてクラウドシステムの設計を学ぶ．
計算機科学概論,田中　美紀,yes,no,2,2,水曜５限・木曜５限,2,選択,プログラミング基礎・アルゴリズム・データ構造,基本的な計算機科学の概念を学ぶ．
人工知能入門,高橋　雅人,no,yes,3,3,月曜５限・金曜５限,2,選択,強化学習・探索アルゴリズム,人工知能の基礎理論を実習を通じて学ぶ．
ソフトウェア工学,田中　隆,no,no,2,3,火曜５限・木曜４限,2,選択,ソフトウェア設計・テスト・品質保証,ソフトウェアの開発手法を演習を通じて学ぶ．
ネットワークセキュリティ,井上　哲也,yes,no,3,4,水曜４限・金曜４限,1,選択,暗号化・認証技術・ネットワーク攻撃対策,実際のネットワークにおけるセキュリティ問題を学ぶ．
マルチメディア処理,佐藤　正,no,yes,2,3,火曜４限・金曜４限,1,選択,画像処理・音声処理・ビデオ処理,マルチメディアデータの処理技術を学ぶ．
認知科学,山田　彩,no,yes,1,2,月曜３限・木曜３限,2,選択,認知モデル・知識表現,認知科学の基礎理論を実習を通じて学ぶ．
システム制御工学,田村　恵,yes,no,3,3,火曜３限・金曜３限,1,選択,フィードバック制御・安定性解析,システム制御の基本概念を演習を通じて学ぶ．
データベースシステム,中村　悠,no,no,3,2,火曜２限・金曜２限,1,選択,リレーショナルデータベース・SQL,データベース設計と操作を実習を通じて学ぶ．
アルゴリズム設計,山本　宏,no,no,4,3,月曜１限・金曜１限,2,選択,グラフアルゴリズム・動的計画法,アルゴリズム設計技術を演習を通じて学ぶ．
機械学習応用,井上　裕,no,yes,3,4,火曜１限・木曜２限,2,選択,サポートベクターマシン・決定木・アンサンブル学習,機械学習の応用技術を実習を通じて学ぶ．
ニューラルネットワーク,佐藤　豊,yes,no,2,3,水曜１限・木曜２限,1,選択,フィードフォワードネットワーク・誤差逆伝播法,ニューラルネットワークの基礎を学ぶ．
最適化理論,田中　恵子,no,no,2,2,火曜５限・金曜５限,2,選択,線形計画法・非線形最適化,最適化手法を基礎から学ぶ．
進化的計算,山田　明,yes,no,3,3,火曜２限・木曜２限,2,選択,遺伝的アルゴリズム・進化戦略,進化的計算手法を学ぶ．
ソフトコンピューティング,佐々木　隆,no,yes,2,2,火曜１限・金曜１限,2,選択,ファジィ論理・ニューラルネットワーク・遺伝的アルゴリズム,ソフトコンピューティングの基礎を学ぶ．
ロボティクス応用,田村　洋,no,yes,3,3,月曜４限・金曜４限,2,選択,ロボット制御・センサー技術,ロボティクスの応用技術を演習を通じて学ぶ．
パターン認識,中村　雅,no,no,2,2,水曜２限・金曜３限,2,選択,特徴抽出・分類・クラスタリング,パターン認識技術を基礎から学ぶ．
強化学習,高橋　隆,no,yes,3,3,火曜３限・木曜３限,1,選択,Q学習・SARSA・政策勾配法,強化学習の理論と応用を学ぶ．
自然言語処理応用,山本　隆,no,yes,2,3,月曜２限・金曜２限,2,選択,文法解析・機械翻訳,自然言語処理の応用技術を学ぶ．
ビジュアルコンピューティング,佐々木　拓,yes,no,3,3,水曜４限・金曜４限,1,選択,画像処理・3Dレンダリング,ビジュアルデータの処理技術を実習を通じて学ぶ．
インターネット技術,中村　光,no,yes,2,3,火曜２限・木曜３限,2,選択,インターネットプロトコル・ルーティング技術,インターネットの基礎技術を学ぶ．
